"Name","ipfsUrl","Accessories","Artifacts","Background","Body","Coins","Expression","Eyes","Hieroglyphs","Keyword","Mouth"
"Chia Friends #1","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1.png",,,"Sea Foam","K32 (Steel)",,,"Closed","4",,"Sad (Steel)"
"Chia Friends #10","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/10.png","Bow (Blue)",,"Banana","Broccoli (Green)",,"Squint (Green)","Blue",,,"Smile (Green)"
"Chia Friends #100","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/100.png","Bow (Gold)",,"Nighttime","Cactus (Albino)",,"Wide Eyes","Purple",,,"Ooo (Tan)"
"Chia Friends #1000","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1000.png",,,"Sand & Gradient","K32 (Steel)",,,"Closed","2",,"Jagged (Steel)"
"Chia Friends #10000","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/10000.png",,,"Sea Foam & Glimmer","Parakeet (Green)","Eye",,"Orange",,,"Beak (Small)"
"Chia Friends #1001","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1001.png",,"Emerald","Mint & Gradient","Starling",,,"Vipers",,,"Beak (Long)"
"Chia Friends #1002","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1002.png",,,"Squash","Marmot (Brown)",,"Wide Eyes","Laser Visor",,,"Snout (Sullen)"
"Chia Friends #1003","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1003.png",,"Emerald","Green","Marmot (Brown)",,"Squint (Brown)","Purple",,,"Snout (Hungry)"
"Chia Friends #1004","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1004.png",,"Snow","Gold Fish","Marmot (Green)",,,"Vipers",,,"Snout (Sullen)"
"Chia Friends #1005","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1005.png",,,"Dolphin & Shimmer","Parakeet (Yellow)","Leaf",,"Orange",,,"Beak (Small)"
"Chia Friends #1006","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1006.png",,,"Worm & Watercolor","Broccoli (Green)",,,"3D Glasses",,,"Ooo (Green)"
"Chia Friends #1007","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1007.png",,"Fireball (Yellow)","Green Lasers & Stars","Seal",,,"Cyborg",,,"Snout (Hungry)"
"Chia Friends #1008","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1008.png",,,"Mint","Parakeet (Yellow)",,,"Vipers",,,"Beak (Small)"
"Chia Friends #1009","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1009.png",,"Snow","Dolphin","Marmot (Brown)",,"Wide Eyes","Purple",,,"Snout (Tooth)"
"Chia Friends #101","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/101.png",,,"Mint","Cactus (esaung)",,"Wide Eyes","Enlightened",,,"Carne (Tan)"
"Chia Friends #1010","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1010.png",,,"Opaa & Shimmer","Marmot (Blue)",,,"Green",,,"Snout (Sullen)"
"Chia Friends #1011","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1011.png",,,"Fern & Gradient","Cactus (Green)",,"Angry (Green)","Green",,,"Ooo (Green)"
